Location Description
BOAT / WATERCRAFT
HOTEL / MOTEL
GANGWAY
BARBER SHOP/BEAUTY SALON
HOTEL
STAIRWELL
SCHOOL YARD
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS
HALLWAY
HORSE STABLE
COLLEGE / UNIVERSITY - GROUNDS
DRIVEWAY
TAVERN / LIQUOR STORE
POLICE FACILITY / VEHICLE PARKING LOT
CHA HALLWAY / STAIRWELL / ELEVATOR
FACTORY / MANUFACTURING BUILDING
OTHER RAILROAD PROPERTY / TRAIN DEPOT
CLUB
COLLEGE / UNIVERSITY - RESIDENCE HALL
MOVIE HOUSE / THEATER
GAS STATION DRIVE/PROP.
SPORTS ARENA / STADIUM
SCHOOL - PRIVATE GROUNDS
HIGHWAY / EXPRESSWAY
GARAGE
LIQUOR STORE
TAXI CAB
CHA HALLWAY
HOSPITAL
CTA PROPERTY
GARAGE/AUTO REPAIR
CTA SUBWAY STATION
VESTIBULE
CHA PLAY LOT
OFFICE
TRUCK
TRAILER
WOODED AREA
LAUNDRY ROOM
BASEMENT
RIVER BANK
DUMPSTER
COUNTY JAIL
TAVERN
COACH HOUSE
YMCA
CHA STAIRWELL
CHURCH PROPERTY
CHA ELEVATOR
SEWER
LIVERY STAND OFFICE
CHURCH
CHA BREEZEWAY
CHA LOBBY
PRAIRIE
PUBLIC GRAMMAR SCHOOL
RIVER
JUNK YARD/GARBAGE DUMP
FUNERAL PARLOR
NURSING HOME
MOTEL
LAKE
PUBLIC HIGH SCHOOL
GOVERNMENT BUILDING
"CTA ""L"" TRAIN"
ELEVATOR
POOLROOM
CLEANERS/LAUNDROMAT
EXPRESSWAY EMBANKMENT
LAGOON
TRUCKING TERMINAL
ROOMING HOUSE
FACTORY
LIVERY AUTO
BANQUET HALL
LOADING DOCK
