,Location of death (city)
10468,Haubstadt
10474,Paris Township
10491,Taylor Ridge
10493,Maitland
10495,Malden
10498,Powderly
10501,Lake Stevens
10502,Bemidji
10503,Tooele
10523,Bald Knob
10527,Howell
10528,Dartmouth
10534,Essington
10536,Libertyville
10538,Punxsutawney
10541,LaPlace
10544,Bayard
10554,Mt. Bethel
10555,Mexico
10556,Arizona City
10558,Trinity
10561,Dale City
10566,Mooresburg
10594,Eatonton
10599,Supply
10604,Granbury
10607,Nichols Hills
10609,Valentine
10619,Bedminster Township
10627,Elkview
10635,Siler City
10644,Delavan Township
10645,Inkster
10649,Stephens City
10650,Timpson
10652,Mt. Lebanon
10659,Millry
10666,Breaux Bridge
10667,Centrahoma
10668,Jackhorn
10674,Alexandria Valley
10683,Starke
10696,Panama City
10698,Elk River
10700,San Ysidro
10703,Pleasant Hill
10704,Kalona
10707,San Juan
10719,Claymont
10720,New Hyde Park
10722,Yazoo City
10725,St. George
10731,Rincon
10735,Ames
10739,Mossville
10742,Okmulgee
10743,Grovertown
10750,North Tazewell
10760,Garibaldi
10766,Winter Park
10776,Anacoco
10777,Deer Park
10783,Indian Shores
10784,Center Line
10787,Hamlet
10790,Bruce
10797,Perryton
10800,Manila
10801,New Rochelle
10802,St. Louis Park
10803,Vineyard
10805,Three Rivers
10818,Paragould
10824,McClellanville
10829,Wylie
10830,Iuka
10834,Sudlersville
10836,New Braunfels
10844,Cambridge City
10846,Coram
10853,East Grand Rapids
10866,Sabattus
10872,Childress
10877,Amite
10879,North Port
10880,Strasburg
10897,Suitland-Silver Hill
10902,Dallastown
10906,Bloomsburg
10915,Platteville
10918,Robert
10934,Mason
10942,Burney
10947,Pāhoa
10949,Edinburg
10951,Dumas
10957,Rockledge
10967,Eatonville
10968,Mt Sterling
10970,Constantine
10980,Kings Mountain
10996,Tallassee
10997,Stamford
10999,Natrona Heights
11001,Bothell
11002,Ham Lake
11012,Mt. Orab
11015,Ada
11017,Douglas
11025,Livonia
11027,Peru
11033,Whitehaven
11035,Clover
11044,Northlake
11049,Reading Township
11064,La Jolla
11076,Bella Vista
11078,Lauderdale Lakes
11087,Northbrook
11094,Goldsboro
11098,Griffin
11109,Keene
11117,Lake Tapps
11123,Sarah
11138,Camp Springs
11154,Circleville
11155,Alamogordo
11161,Roosevelt
11163,Broken Bow
11164,Apple Grove
11167,Quinlan
11169,Nortonville
11175,Cheraw
11178,Ithaca
11180,North Vernon
11181,Minkler
11184,Ash Fork
11189,Frederickson
11205,Golovin
11210,Leitchfield
11222,St. James
11232,Rhinebeck
11242,Mt. Zion
11252,Panorama City
11254,Grosse Ile Township
11266,Overland
11270,Clearwater Beach
11275,Oscoda
11278,Penns Grove
11283,Midway
11287,Canyon
11295,White Pigeon
11305,Southwest City
11312,Cottage Grove
11321,Prairie Village
11324,George West
11341,Poway
11342,Walsenburg
11343,Sierra Blanca
11353,Darrow
11358,Cornelius
11359,Floral City
11360,Cocoa
11361,Palm Beach
11365,Bevinsville
11372,Pinson
11378,Westcliffe
11379,Prescott Valley
11384,Kittrell
11385,Hazel Green
11390,Enola
11397,Ewing Township
11399,Argyle
11409,East Compton
11415,Lehigh Acres
11424,Racine
11425,Hammonton
11433,Alliance
11434,Eagle Point
11436,Natomas
11452,Shaker Heights
11465,Ogallala
11470,Port Wentworth
11472,Coleman
11473,Brashear
11475,Palm Desert
11484,Lowell Charter Township
11488,Richland Hills
11507,Yuba City
11510,Fort Lee
11513,Eagle
11518,Sherman Oaks
11523,Tamaqua
11528,Strong
11529,New Hartford
11547,Cuero
11550,Belen
11551,Collegedale
11555,Grand Forks
11560,Travelers Rest
11562,Radcliff
11563,"El Paso, Ciudad Juárez"
11570,Belfield
11571,Indian Trail
11576,Hurricane
11579,Altadena
11588,Cherry Township
11590,Homewood
11594,Old Orchard Beach
11599,Trementina
11600,Libertytown
11608,Southwest Ranches
11618,Prunedale
11619,Neodesha
11624,Plumerville
11625,Grants Pass
11629,Santa Ynez
11636,Beavercreek
11647,Lake Berryessa
11650,Flintstone
11662,Imperial
11700,Leoma
11704,Melrose Park
11705,Kincheloe
11710,Otter Creek
11713,Lithia Springs
11716,Mineral Wells
11719,Oak Ridge
11720,Pace
11724,Wedowee
11730,Lamb Ridge
11732,Clementon
11738,Pagosa Springs
11749,Towson
11754,North Mobile
11756,Sharpsville
11760,Mendocino
11765,Stoughton
11768,Manassas
11783,Paoli
11787,Batesburg-Leesville
11793,Blue Lake
11797,Killen
11799,East Ridge
11807,Rogue River
11810,Edwardsville
11811,Liberty Township
11814,Sioux Falls
11829,Laytonville
11831,Lockhart
11832,Silsbee
11835,Ormond Beach
11838,Coppell
11847,Woodhaven
11848,Louisa
11850,Pleasant Dale
11863,Allison Park
11871,Lakehills
11875,Boaz
11890,Ashville
11897,Gold Bar
11909,Appleton
11916,Olalla
11917,Callahan
11918,Lower Macungie Township
11921,Battle Mountain
11922,Rocky Ford
11924,Micco
11944,Cathedral CIty
11945,Octavia
11952,Glen Avon
11956,Milltown
11960,Hollidaysburg
11961,Perry Township
11971,Pennsauken Township
11973,Madras
11978,Fort Mill
11979,Hopkins
11993,Middle Township
11998,Evergreen Park
12000,Eagle Pass
12005,Bonham
12009,Danbury
12013,Bradley
12023,Delton
12029,Postville
12030,Thornwood
12031,Mills River
12033,Forrest City
12036,Tucumcari
12049,Hawesville
12059,Stockport
12062,Bainbridge Island
12066,Veneta
12068,Windsor Locks
12073,Louisiana
12074,Appomattox
12077,Pixley
12097,Needham
12100,Mount Joy
12106,Berthoud
12112,Fort Bragg
12119,Brookfield
12122,Salisbury
12125,Marcellon
12129,Riggins
12130,Creighton
12136,West Babylon
12138,Rochester Hills
12144,Hemingway
12148,Remus
12150,Chartiers
12152,Gulf Park Estates
12153,Rowland Heights
12154,McKeesport
12155,Tell City
12159,Napa
12160,Satellite Beach
12164,Bonne Terre
12165,Marinette
12166,Thomas
12175,Boerne
12179,Ocklawaha
12180,Corrigan
12191,West Sacramento
12199,Rice Hill
12207,Hyattsville
12249,Trent
12256,Skipperville
12259,Townville
12264,Taylor
12271,South Jordan
12274,Woburn
12279,Blue Ridge
12292,Joshua Tree
12301,Enon
12307,Hooper
12325,Hamburg
12343,Fort Shawnee
12352,Walled Lake
12356,Kingwood
12362,Lenorah
12365,"Attapulgus,"
12378,Saint Petersburg
12380,Orinda
12386,St. Marys
12388,Takoma Park
12398,Zumbrota
12401,Lancaster County
12402,Miramar
12407,Pike Road
12412,Belgrade
12418,Ovett
12420,Barnesville
12426,Paramus
12427,San Carlos
12432,South Ogden
12433,Cary
12436,Wallisville
12449,Bass Lake
12455,Swansboro
12463,Avondale Estates
12466,Spring Grove
12470,Norton Shores
12474,Ashby
12480,Jabez
12483,Garfield Heights
12486,Wrightwood
12489,Clay
12490,Lynden
12499,Bellmore
12500,De Pere
12510,Effort
12511,Waretown
12522,Russell
12530,Limon
12536,Villa Ridge
12537,Harper
12538,Township of Washington
12540,Massapequa
12544,Vansant
12558,Santa Margarita
12569,Ravensdale
12571,Ranger
12574,Warm Springs
12579,Fond du Lac
12589,Madill
12599,Kennebunk
12607,Lauderhill
12609,Morton Grove
12610,Mangum
12614,Canastota
12617,Newport
12618,Fairchild
12619,Davison
12627,Fairburn
12629,Anthony
12630,Sigourney
12640,Juda
12642,Westerville
12648,Glenn Dale
12652,Traer
12666,Hampstead
12669,Terrell
12679,Hudsonville
12693,Pulaski
12698,Fabens
12712,Shepherdsville
12713,Orcutt
12714,Venus
12715,Pinehurst
12717,St Stephen
12745,Saks
12746,Sunnyside
12749,Durant
12751,Randallstown
12753,Eutawville
12759,Cleo Springs
12761,Schuylkill Haven
12770,Lake Orion
12776,Sylvania Township
12785,Clayhole
12789,Hesper
12794,Lake Arrowhead
12805,Crimora
12806,Bolivia
12808,Miami-Dade
12810,Bonners Ferry
12811,Glendora
12812,Cottageville
12813,East Lansing
12814,North Hopewell Township
12815,Fowlerville
12819,Selah
12825,Fountain
12828,Hillsborough
12832,Moore
12838,Mindoro
12842,Sherman
12843,Towaoc
12845,Tazewell
12866,Homer City
12883,Marshall
12887,Simsboro
12890,Fallon
12892,McMurray
12893,Galt
12895,Gaston
12902,Anza
12903,Watsonville
12906,Ville Platte
12913,Lansdale
12915,Fair Play
12917,Westerly
12921,Lee's Summit
12922,Mt Dora
12928,Winter Garden
12936,Antlers
12950,Crows Landing
12951,Carneys Point
12954,Page
12955,Iron Mountain
12956,West Helena
12957,Napavine
12959,Winnsboro
12961,Pageland
12970,Jacksonville Beach
12971,Nassau Bay
12984,Suisun City
12985,Clallam
12988,Country Club Hills
12999,Wagner
13001,Genoa
13003,Trainer
13026,Battlefield
13036,Coeur d'Alene
13039,Miamisburg
13046,Snyder
13052,Foyil
13053,Union County
13063,Van Meter
13067,San Francisco Bayview District
13082,Manitou Beach
13097,Tamms
13098,Black Forest
13106,Capitan
13108,West Monroe
13117,Granite Bay
13125,Gladewater
13133,Cope
13137,Cape Canaveral
13139,Chase
13141,Mooreville
13150,Fairmont
13156,Peachtree Battle
13169,Helena
13172,Grosse Pointe Park
13174,Wagoner
13176,Ware Shoals
13181,Glassboro
13187,Sweetwater
13191,Boston Township
13200,Hampden
13203,Gramercy
13229,Jamison
13230,North Cape May
13235,Point Lookout
13243,Delaware Water Gap
13244,Dillwyn
13246,Westchester
13247,Stevensville
13256,Yarnell
13260,Garrison
13264,Custer
13274,Rockland
13279,Shaw
13283,South Houston
13284,Glendo
13291,Catawissa
13292,Menifee
13293,Crosby
13305,Green Sea
13306,Fircrest
13307,Tuckerton
13311,Minnesota City
13312,Park City
13330,Richmond Heights
13333,Minnetonka
13337,Mooreland
13338,Issaquah
13341,Farmingdale
13345,Middleburgh
13355,Waterfall
13366,St. Pete Beach
13371,Willitz
13377,Linn Creek
13378,Republic
13380,Glorieta
13392,North English
13398,Cody
13400,Delphos
13404,Myrtle Creek
13405,Lower Burrell
13406,Madison Heights
13409,Red Lodge
13414,Chipley
13415,Cibolo
13417,Mountain Lakes
13430,Carl Junction
13432,Lexington Park
13435,Aberdeen
13442,Pelham
13443,Kankakee
13448,Royal City
13456,Show Low
13462,Ashford
13466,Woodworth
13476,Latham
13481,St. Albans
13482,Albemarle
13483,Mathis
13484,Crowley
13489,Jenners
13491,Tarrant
13494,Beloit
13507,Alex
13511,Colville
13515,Craigmont
13517,Bonney Lake
13549,Ross
13550,Scotland Neck
13555,Farrell
13557,Vidalia
13561,Marina
13562,Aquasco
13577,Dover-Foxcroft
13581,Woodall
13584,Pakala Village
13590,Grosse Tete
13596,Gardnerville
13598,Porter
13603,Atchison
13612,Adelphi
13618,Elroy
13619,Lagrange
13626,West Terre Haute
13639,Pennsville
13646,Greater Landover
13649,Palo Pinto
13652,Monessen
13657,Fort Mohave
13660,Natural Bridge
13661,Murrieta
13666,Dumfries
13667,Shippensburg
13686,Rancho Palos Verdes
13689,Livermore
13696,Granite Shoals
13700,East Meadow
13737,Littlefield
13743,Ponte Vedra Beach
13750,Shively
13761,Rosharon
13775,Valley View
13780,Beardstown
13786,Stone Mountain (Near)
13788,Buttonwillow
13790,Lutherville-Timonium
13793,Brush
13796,Palos Verdes Estates
13809,Bluewell
13816,Barnegat
13818,Hulbert
13828,Grayling
13831,Guyton
13834,Pretty Prairie
13836,Mora
13840,Poulsbo
13843,Culpeper
13844,Powell
13845,Butler City
13857,Nanakuli
13868,Omao
13872,Donaldsonville
13877,Superior
13884,Baxley
13888,Ocean City
13891,West Liberty
13894,Mount Vernon
13897,Walkerton
13898,Whatley
13900,Cedar Park
13908,West Mifflin
13911,Merritt Island
13915,Pavillion
13932,Harrisonville
13936,Miami Lakes
13944,New Madrid
13945,Hickory Hills
13954,Folkston
13962,Annville
13970,Fortuna
13976,Lubeck
13978,Magna
13980,Gladys
13989,Weirton
13991,Paraje
13996,Bayonne
14000,Mediapolis
14002,Chevy Chase
14018,Chardon
14028,Kingston Springs
14031,Dade City
14036,Hardinsburg
14046,New Galilee
14048,Landover
14051,La Joya
14052,Burkeville
14058,Palmview
14071,Orangevale
14072,Birch Tree
14076,Greenland
14083,Elko
14085,Gambrills
14089,McCammon
14092,Suwanee
14095,Cloutierville
14096,Keyes
14103,Emerson
14104,Shady Shores
14108,Soper
14121,Mound Bayou
14130,Jenkintown
14153,Towne Lake
14155,Hindsville
14156,Grayson
14157,Sonora
14166,Alexander City
14168,Walthourville
14187,Guntown
14194,Edgard
14203,Poughkeepsie
14208,Loxahatchee
14219,Plymouth Meeting
14230,Thomson
14236,Farmville
14238,Olive Hill
14263,Yachats
14265,Columbia Falls
14269,Wright City
14272,Offutt AFB
14278,Loudon
14289,Henagar
14291,Gatlinburg
14295,Sellersville
14297,Irving
14300,Manvel
14302,Cumberland
14306,Munford
14308,Munnsville
14319,Azle
14331,Kotzebue
14332,Fieldale
14343,Lanham
14344,Thetford
14347,Hurley
14348,Mullins
14351,Harrison Charter Township
14353,Elsmere
14357,Jackman
14359,La Grange
14363,Maury City
14368,Canoe
14379,Bonanza
14388,DeLeon Springs
14390,Dekalb
14396,Valley
14397,Lantana
14407,Hermon
14409,Buellton
14413,Orange Cove
14419,Hazelwood
14421,Lewisville
14422,Ashton-Sandy Spring
14425,Jamaica
14429,Owensburg
14430,Fife
14433,Poplar Bluff
14436,Newton Falls
14438,Brent
14439,Summerfield
14444,Plentywood
14445,Bluefield
14451,North Branch
14463,Eustis
14466,Brook Park
14468,Groesbeck
14470,Worcester
14485,Dulce
14486,Lacombe
14491,Villa Grove
14499,Dacula
14504,Welaka
14506,Beachwood
14511,Old Forge
14516,Cason
14522,Dobson
14527,Drummonds
14530,Groton
14556,Princeville
14557,Early
14584,Cranberry Township
14587,Catawba
14589,Premont
14602,Ackley
14608,West Oakland
14615,Tangipahoa
14621,Smithfield
14624,Kingsville
14628,Alvin
14634,Kingsland
14635,Gladstone
14655,Bentonville
14670,White River
14675,Midnight
14677,Thorn Hill
14685,Ellendale
14693,Reserve
14698,Wheat Ridge
14699,Wallback
14706,Choudrant
14712,Meadville
14715,Epes
14716,Treasure Island
14721,Coker
14724,Georgiana
14731,Alamo
14732,Perkins
14735,Talent
14737,Friendship
14742,Cochran
14750,Eutaw
14754,West Bloomfield Township
14765,Guadalupe
14770,Harrington
14772,Perkiomenville
14777,The Dalles
14779,Schulenburg
14781,El Reno
14784,Atascosa
14798,Healy
14803,Woodville
14813,Clair-Mel
14821,Tonopah
14823,Luling
14826,Yale
14829,Haddon Township
14831,Shamrock
14841,Bisbee
14845,Osawatomie
14848,Taunton
14849,Middlebury
14850,Flushing
14867,Tombstone
14874,Morgan City
14876,Delbarton
14877,Maurice
14897,Krum
14899,Kanosh
14902,Hiram
14905,Monclova
14915,Eastvale
14916,Glacier View
14925,Lamoine
14928,Lower Lake
14935,Pennington Gap
14937,Penitas
14943,Corinne
14951,Buchanan Dam
14954,Walhalla
14956,Terryville
14959,Pe Ell
14977,Nanafalia
14978,White Cloud
14981,Overfield Township
15019,Rainbow City
15030,Fairhope
15033,Leonia
15041,Pampa
15049,Elburn
15052,Littleton
15058,Dandridge
15063,Schofield Barracks
15068,Coalton
15075,New Hampton
15088,Ridgewood
15092,Fall City
15114,Barton
15116,Fort Hood
15120,California City
15129,Moapa
15135,Pella
15142,St. Gabriel
15152,Security-Widefield
15153,Geeseytown
15157,McNeil
15161,Gloucester Township
15163,Tahoka
15164,Kentfield
15166,Myrtle
15170,Taneytown
15172,Earlysville
15185,Springettsbury
15186,Campbelltown
15190,Hearne
15191,Hermiston
15198,Gordon
15215,Westwood Lakes
15219,Deatsville
15221,Wenonah
15228,Independence Charter Township
15236,Saraland
15246,Man
15247,Uxbridge
15253,Girard
15255,Smiths Station
15262,Waverly
15263,Indialantic
15265,Senath
15286,Frederic
15292,New Kensington
15300,Brandy Station
15314,Lake Tomahawk
15315,Alto
15333,Cullman
15335,Fernley
15340,Pryor Creek
15341,Fort Worth/Haltom City
15342,Section
15347,­Fillmore
15350,Bishop
15351,Granger
15352,Harvest
15356,Waseca
15361,Midland City
15364,Poth
15371,Pocahontas
15377,Bladensburg
15381,Dowling
15386,New Augusta
15392,Angelus Oaks
15394,South Lyon
15396,Dinwiddie
15410,Jamestown
15412,Grapevine
15415,Moulton
15421,Bandera
15429,Holladay
15431,Long Island City
15435,Lawnside
15439,Water Valley
15448,Norwich
15451,Kaysville
15454,Eloy
15462,Guerneville
15464,Atmore
15474,Ohkay Owingeh
15477,Ft. Lauderdale
15478,Canyonville
15488,North Hudson
15490,Ocotillo
15492,Guin
15495,New Market
15505,Abita Springs
15509,Navarre
15515,Middlefield
15517,Kathleen
15518,North Liberty
15524,Medicine Park
15528,Willimantic
15533,Pisgah
15537,Chubbuck
15538,Herkimer
15539,Devine
15541,Paxtonia
15547,Fairless Hills
15550,Carmel
15558,East Hazel Crest
15585,Enid
15591,Rocky Face
15600,Coshocton
15604,Rawlings
15605,Hoquiam
15607,Walpole
15613,The Woodlands
15614,Tarboro
15616,Hot Sulphur Springs
15619,Bryant
15624,Chicopee
15625,Hanahan
15633,Champion
15648,Harborcreek
15653,Westbrook
15656,Dawsonville
15657,Stony Creek
15669,Rapidan
15681,Bear Valley Springs
15688,Kingstree
15695,Genesee Township
15699,Warrensburg
15702,Coal City
15706,Menasha
15707,Westfield Boro
15709,Gaithersburg
15711,Vail
15719,Crystal Springs
15731,Pleasantville
15747,Atascocita
15749,Lone Tree
15752,Frog
15773,Coeburn
15775,Homerville
15776,San Leon
15795,Stringtown
15823,Stromsburg
15828,Oakville
15829,Soda Springs
15830,Edna
15832,Kirbyville
15833,Carnesville
15834,Swansea
15839,Clintonville
15843,Cardington
15847,Nine Mile Falls
15849,Chapman
15865,Blytheville
15868,Hillman
15872,Three Way
15888,Sutton-Alpine
15894,Worden
15896,Ridgefield
15900,Mt. Morris Township
15904,Ronks
15920,Ferris
15928,Broad Creek
15933,Corsicana
15937,Pine
15944,Pataskala
15949,Red Feather Lakes
15952,Dowagiac
15954,Mad River
15992,Sardis
16003,Mullan
16012,Fruita
16044,Plainwell
16048,Avinger
16053,La Puente
16070,Maysel
16082,Shirley
16088,Town of Pound
16092,Elmendorf
16099,Calais
16103,Millersburg
16108,Gilford Township
16111,Brenham
16118,Geronimo
16119,Brackettville
16124,Craigsville
16126,Epsom
16129,Buckner
16131,Pooler
16132,Batavia Township
16135,Sewickley
16136,Brush Valley
16139,Cabazon
16148,Loma
16149,Eagle Butte
16158,Oak View
16161,Encinal
16167,Cairo
16168,DeForest
16179,Oil Springs
16180,Oil CIty
16189,Stanfield
16194,Latrobe
16195,St. Regis
16198,Cockeysville
16202,Wilson
16211,Wenatchee
16222,Newbury Park
16224,Moorestown
16234,Gila Bend
16246,Orting
16253,Yellow Springs
16256,Sweet Home
16259,Brattleboro
16267,Cardwell
16273,Coleville
16290,Cascade
16291,Ambridge
16292,Poplar Grove
16306,Gloster
16311,Nashotah
16312,Fort Ripley
16313,Middlesboro
16325,St Paul
16326,Līhuʻe
16332,Grindstone Township
16334,McComb
16336,Bluff City
16337,Cedartown
16338,South Pasadena
16340,Rush Springs
16348,Goldonna
16352,Hopewell Junction
16355,Buckley
16363,Fort Morgan
16366,Danvers
16370,Center
16378,Molunkus
16382,Palo Cedro
16383,Quapaw
16393,Cortez
16395,Sisters
16397,Latta
16403,Saratoga Springs
16405,Pasco
16412,Los Banos
16414,St. Thomas
16417,Pinecrest
16419,Braddock
16436,Jasper
16437,St Petersburg
16446,Newville
16448,Mabank
16473,Merrill
16475,Era
16476,Judsonia
16487,Ivanhoe
16495,Guthrie
16497,Northwood
16505,East Bridgewater
16506,Parkersburg
16511,San Tan Valley
16516,Laguna Niguel
16522,Waelder
16538,Hitchcock
16541,Havre de Grace
16550,Ariton
16551,Hartsville
16555,Slippery Rock
16556,Calverton
16558,Indian River
16568,Waycross
16570,Staten Island New York City
16572,Posen
16574,Lake Hamilton
16586,Old Town
16596,James Island
16598,Kings Park
16604,Starr
16609,Huber Heights
16616,Oelwein
16621,Neillsville
16622,Nauvoo
16625,Wishram
16633,Otay Mesa
16636,Portola
16637,Coffeeville
16639,Index
16644,Alamosa
16651,Eupora
16653,Golconda
16656,Findlay
16660,Weed
16668,Islamorada
16671,Kosciusko
16677,Pearisburg
16710,Fort Thompson
16713,Fort Belvoir
16716,Gower
16724,Enterprise
16726,Papillion
16732,Oregon City
16755,South Shenango Township
16769,Mabelvale
16772,Gypsum
16773,Bowbells
16778,Wayzata
16806,South Brunswick
16807,Orienta
16809,Rock Falls
16823,WInchester
16829,Yarmouth Port
16831,Granada Hills
16847,Key West
16848,La Crescenta
16849,Brantley
16853,Kyle
16854,Murphysboro
16857,Okeechobee
16859,Bois D'Arc
16866,Etowah
16867,Havelock
16878,Alamo Heights
16892,Moon
16895,Topanga
16896,Morongo Valley
16902,Kerens
16905,Hollis
16927,Hialeah Gardens
16938,Coweta
16940,Winterville
16954,Placitas
16956,North Plainfield
16958,Colleyville
16966,Ruston
16971,Moses Lake
16974,Tifton
16980,Carrizo Springs
16981,Chelsea
16983,Hondo
16984,Crestview
16988,Lincoln City
16995,Arvada
17004,Boiling Spring Lakes
17007,Anmoore
17018,Queens Village
17021,De Valls Bluff
17022,Williamsport
17029,Vienna
17032,Ludington
17036,Houghton Lake
17039,Apache
17041,Spanish Fork
17049,Boligee
17053,Stansbury Park
17056,Colbert
17060,Interlachen
17072,Red Lion
17073,Dill City
17075,Burleson
17082,Lakeview
17090,Federal Heights
17102,Waldo
17106,Chapmanville
17112,Nephi
17114,Laughlin
17116,Dixfield
17119,Sandston
17121,Merrifield
17125,Sylacauga
17131,West Hanover Township
17132,Nevada City
17135,Liberty City
17142,Brookshire
17146,Bath Springs
17149,Yulee
17157,Menomonie
17165,Euharlee
17166,Gautier
17171,Cheeks
17174,Mukilteo
17184,San Lorenzo
17187,Oyster Creek
17188,Browning
17197,Vidor
17206,Arcola
17223,Antelope
17228,Bancroft
17230,Clawson
17233,Kendall
17235,East Naples
17241,Bourbon
17257,Niagara Falls
17260,Lyerly
17262,Buffalo Grove
17277,St. Michael
17278,Downsville
17287,Jean
17294,Cumming
17303,Cleone
17321,University Place
17335,Rice
17340,Oildale
17343,Glen Rose
17348,Tonalea
17356,New Bern
17359,Lincolnton
17372,Maquoketa
17376,Kenwood
17387,Bixby
17393,Richard City
17395,Portageville
17417,Wauconda
17419,St Augustine
17442,Windham
17444,Doerun
17462,Nettleton
17468,Iowa Falls
17470,Salton City
17471,Woodward
17487,South Lebanon
17499,Ararat
17500,Westley
17506,Bergenfield
17513,Hinton
17514,Hellertown
17518,Athena
17531,Primrose
17536,Moody
17546,Iraan
17552,Olivehurst
17559,Dotsero
17562,Payette
17563,Pine Lawn
17568,Macy
17573,Hazard
17581,Prince Frederick
17588,Nesquehoning
17590,Universal City
17592,Dunelion
17600,Campbellsville
17610,Plover
17618,Onawa
17619,Masaryktown
17622,Macclesfield
17623,Clearfield
17624,Scott City
17635,Hazelhurst
17642,Purcellville
17644,Lebec
17645,Neelyville
17650,Red Wing
17660,Holyoke
17687,Raeford
17689,Cowley County
17695,Piedmont
17700,Half Moon Bay
17702,Marriott-Slaterville
17704,McPherson
17719,East Knoxville
17721,Bridgeville
17722,Sealy
17740,Cassville
17749,Kegley
17762,Brownstown Charter Twp
17770,Lake Forest Park
17771,Ellicott City
17774,Tahlequah
17784,Schuyler
17787,Dickinson
17790,Bernardino
17796,Rhinelander
17812,Cisco
17832,Wahpeton
17854,Cannon Falls
17870,Ragland
17873,Molalla
17880,Estero
17887,Wapato
17889,Lady Lake
17895,Tracy City
17896,Middle Island
17899,Fountain Hills
17903,Basin
17905,Frankford
17907,Munising Township
17914,Flint Township
17918,Reedsport
17929,Bealeton
17939,Cross City
17940,Belle Isle
17941,Romulus
17943,Trotwood
17944,Ray Brook
17950,Salt Lake
17958,Bloomburg
17966,Pana
17970,Ethete
17977,Balcones Heights
17988,Pinetop
17992,Church Hill
17999,Fort Madison
18005,Hudgins
18012,Pearl City
18021,Seven Valleys
18023,Walnut Park
18026,Pflugerville
18034,Palenville
18047,New Auburn
18051,Fairfield Township
18052,Suffern
18060,Bunnel
18066,Tumalo
18076,Carpentersville
18082,Haysville
18083,Cherry Valley
18084,Candor
18093,Hapeville
18097,Methuen
18107,Dingess
18141,Hoisington
18143,Claude
18149,Henryetta
18163,Ware
18165,De Kalb
18167,St. Johns
18168,Vernon Hills
18179,Sinton
18186,Washington City
18190,Hogansville
18195,Young Harris
18197,Pigeon Forge
18203,Maidsville
18207,Pelahatchie
18208,Rutherford
18223,Hermantown
18230,Homosassa
18232,Ballston Spa
18236,Highland Springs
18256,Blossom
18263,Mitchellville
18276,Conshohocken
18279,Mt Pleasant
18298,Redford Charter Twp
18310,Bergen
18327,Ludlow
18332,Dalhart
18336,Lorman
18338,Cantril
18339,Leslie
18341,Dewey
18346,South Euclid
18366,Helper
18369,Chunky
18376,Oak Grove
18385,Crookston
18388,McFall
18403,Au Sable
18405,Tchula
18417,Blaine
18418,El Dorado Springs
18426,Blountsville
18429,Kitts Hill
18431,Hartselle
18433,Jerome
18437,Spring Branch
18439,Divide
18450,Lucerne
18451,Ann Arbor
18455,Menlo Park
18468,Ladonia
18469,Matteson
18470,Americus
18472,Boyceville
18474,Chippewa Falls
18479,Shillington
18489,Deming
18491,Wausau
18498,Bunnell
18502,Clarkton
18504,Kewanee
18514,Mulvane
18515,Crittenden
18522,Brisbane
18526,Peach Bottom
18536,Versailles
18537,Point Arena
18542,Aztec
18545,Tuskegee
18558,Red Springs
18569,South Berwick
18577,las Vegas
18580,Trent Woods
18582,Richards
18588,Wildomar
18605,Mt Vernon
18613,Glenolden
18615,Beaver Dam
18619,MIdland
18628,Shoreview
18633,Paragon
18643,Deer Lodge
18644,Fairway
18652,Elbow Lake
18673,Pharr
18675,Islip
18676,Holly Pond
18677,Franklinville
18681,Safford
18686,Drexel Hill
18694,Key Largo
18700,Kaumakani
18710,Assaria
18718,Rosemont
18722,Huntley
18724,Little Elm
18733,Jourdanton
18734,Lake Jackson
18735,Robertsville
18737,Catskill
18738,Old Bridge
18740,Draper
18744,Crab Orchard
18759,Gunlock
18761,Sugarland
18764,Weymouth
18765,Charles Town
18766,Chapeño
18777,Rexburg
18788,Morenci
18796,Sunset
18808,Oak Hill
18810,Paducah
18819,Winesburg
18823,Lorena
18830,Calimesa
18831,Beaver Dams
18837,New City
18842,Nocona
18845,Smyrna Mills
18849,Fostoria
18851,Port St. Joe
18852,Dadeville
18853,Arleta
18855,San Manuel
18871,Tewksbury
18872,Del Rio
18875,Eaton Rapids Township
18877,Daphne
18886,Griffith
18896,Millbrook
18911,Ehrenberg
18912,Grand Ledge
18915,Pelzer
18932,Deltona
18937,Melrose
18942,Harbeson
18946,Claymount
18961,Firebaugh
18967,Bay Minette
18973,Follansbee
18981,Branford
18982,Ruth
19000,Sumas
19001,Lukachukai
19002,Munroe Falls
19004,Langtown
19010,Wapanucka
19011,White Oak
19014,Holley
19019,Port Trevorton
19034,Johnsonville
19041,Gravel Switch
19042,Encinitas
19047,Fort Ashby
19048,Peebles
19055,Fort George Meade
19069,Metropolis
19072,Warner
19078,Tonasket
19080,Tehachapi
19084,Rigby
19089,Jetmore
19094,Kellyville
19096,Cana
19098,Monon
19099,Gettysburg
19104,Sand Springs
19108,Salemburg
19109,Newalla
19118,Fall Creek
19125,Cañon City
19129,Waldorf
19131,Gibraltar
19142,Wilmore
19146,Irmo
19151,Tenaha
19152,Eldorado Springs
19162,Rufe
19164,Trinidad
19166,West End
19170,Clermont
19173,Bunch
19200,Chavies
19206,Hallettsville
19215,Wake Forest
19216,Secaucus
19221,Beacon
19228,Constantia
19231,Enfield
19264,Ruidoso
19295,Green Ridge
19299,Luray
19312,Fort Berthold
