Crm Cd Desc
"BURGLARY FROM VEHICLE, ATTEMPTED"
"BURGLARY, ATTEMPTED"
STALKING
THREATENING PHONE CALLS/LETTERS
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
"BUNCO, PETTY THEFT"
VIOLATION OF TEMPORARY RESTRAINING ORDER
"BUNCO, GRAND THEFT"
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
SEXUAL PENETRATION W/FOREIGN OBJECT
EXTORTION
PICKPOCKET
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
PURSE SNATCHING
WEAPONS POSSESSION/BOMBING
COUNTERFEIT
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
FALSE IMPRISONMENT
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
DISCHARGE FIREARMS/SHOTS FIRED
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400"
THEFT FROM PERSON - ATTEMPT
UNAUTHORIZED COMPUTER ACCESS
PANDERING
PIMPING
DRUNK ROLL - ATTEMPT
SHOPLIFTING - ATTEMPT
RESISTING ARREST
DISHONEST EMPLOYEE - GRAND THEFT
RECKLESS DRIVING
PROWLER
"CREDIT CARDS, FRAUD USE ($950 & UNDER"
DOCUMENT WORTHLESS ($200.01 & OVER)
CHILD STEALING
CONTEMPT OF COURT
CONSPIRACY
THEFT FROM MOTOR VEHICLE - ATTEMPT
DRUNK ROLL
BATTERY ON A FIREFIGHTER
ILLEGAL DUMPING
LYNCHING
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)"
GRAND THEFT / INSURANCE FRAUD
"BUNCO, ATTEMPT"
DISRUPT SCHOOL
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)"
FALSE POLICE REPORT
PURSE SNATCHING - ATTEMPT
BOAT - STOLEN
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
DRIVING WITHOUT OWNER CONSENT (DWOC)
CONTRIBUTING
FAILURE TO YIELD
TILL TAP - ATTEMPT
"DRUGS, TO A MINOR"
INCITING A RIOT
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
BRIBERY
LYNCHING - ATTEMPTED
TELEPHONE PROPERTY - DAMAGE
CHILD ABANDONMENT
"THEFT, COIN MACHINE - ATTEMPT"
DISHONEST EMPLOYEE - PETTY THEFT
PETTY THEFT - AUTO REPAIR
BIGAMY
TILL TAP - PETTY ($950 & UNDER)
TILL TAP - GRAND THEFT ($950.01 & OVER)
DOCUMENT WORTHLESS ($200 & UNDER)
"MANSLAUGHTER, NEGLIGENT"
"PICKPOCKET, ATTEMPT"
GRAND THEFT / AUTO REPAIR
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
LEWD/LASCIVIOUS ACTS WITH CHILD
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
BIKE - ATTEMPTED STOLEN
FAILURE TO DISPERSE
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
CHILD PORNOGRAPHY
ABORTION/ILLEGAL
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
DISHONEST EMPLOYEE ATTEMPTED THEFT
TRAIN WRECKING
BLOCKING DOOR INDUCTION CENTER
FIREARMS RESTRAINING ORDER (FIREARMS RO)
"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS"
FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
